R(x),Decomposable,P(x),Q(x)
-10890482894*x**15 + 124842120980*x**14 - 672054873890*x**13 + 2211255061931*x**12 - 4875930085476*x**11 + 7428240499012*x**10 - 7728500612271*x**9 + 5111371242976*x**8 - 1638824926605*x**7 - 216672771779*x**6 + 302584271317*x**5 - 1327684189*x**4 - 30786854757*x**3 - 6467560887*x**2 - 525146400*x - 15484573,1,-94*x**5 - 19*x**4 - 59*x**3 + 82*x**2 + 87*x + 50,41*x**3 - 94*x**2 + 75*x + 11
-6000000*x**15 - 225000000*x**14 - 3156000000*x**13 - 18640490000*x**12 - 21146475000*x**11 + 186687870500*x**10 + 281137090500*x**9 - 1161667026975*x**8 + 358486392300*x**7 + 974579840170*x**6 - 287130398160*x**5 - 443817309669*x**4 + 7610347804*x**3 + 95610072194*x**2 + 29260925216*x + 2724921768,1,60*x**5 + x**4 - 64*x**3 - 22*x**2 + 24*x + 64,-10*x**3 - 75*x**2 + 73*x + 34
-50565543250*x**15 - 137106341343*x**14 - 336779936282*x**13 - 234779663748*x**12 + 1186952268136*x**11 - 420507242528*x**10 + 763528702300*x**9 - 191289845189*x**8 + 1544546787007*x**7 + 2932341855018*x**6 + 241943298419*x**5 + 396545664336*x**4 - 568701459023*x**3 - 187897601860*x**2 - 368870272571*x + 56007898343,0,,
22094657303*x**15 - 35563277093*x**14 - 332601116366*x**13 + 39015158347*x**12 + 1057053622124*x**11 - 647910491021*x**10 + 16160763131*x**9 + 483731989458*x**8 - 2056599809449*x**7 - 15499834342*x**6 + 171574942656*x**5 + 1129679100965*x**4 + 464703916928*x**3 + 208327012159*x**2 + 378008820305*x - 127314693971,0,,
-80796600409*x**15 - 176136661610*x**14 - 295343975121*x**13 + 159410610978*x**12 - 329159891605*x**11 - 1015839583412*x**10 - 87188615331*x**9 - 926698707895*x**8 + 2572281655332*x**7 - 921852412347*x**6 + 104843329859*x**5 - 106625294410*x**4 + 455359542358*x**3 + 515067585619*x**2 - 208627571473*x + 72902647816,0,,
-22171747255*x**15 - 141534192733*x**14 + 265505707753*x**13 + 920610477330*x**12 + 858020601491*x**11 + 2179331496513*x**10 + 1461242270274*x**9 - 381821604036*x**8 + 1395405319449*x**7 + 1312250130824*x**6 - 332605283472*x**5 + 16710606715*x**4 - 257274368634*x**3 + 386225616703*x**2 - 102473326999*x + 72875195180,0,,
11531179806*x**15 - 145935988133*x**14 + 333233177602*x**13 + 911037630085*x**12 + 343535900037*x**11 - 705876219133*x**10 + 2305283863364*x**9 + 1789895461*x**8 + 2472629306217*x**7 - 270425964650*x**6 + 282458378933*x**5 - 298338838000*x**4 + 498062481850*x**3 + 135830580871*x**2 + 70123221699*x + 114318684296,0,,
50666569855*x**15 + 349253193651*x**14 + 77125485900*x**13 + 464708349391*x**12 - 404162383329*x**11 - 63833148685*x**10 + 1132340127169*x**9 - 1055569162176*x**8 + 346754671168*x**7 - 1274901578733*x**6 - 77908048166*x**5 - 474564597088*x**4 + 452485492345*x**3 - 46553613412*x**2 + 156730678574*x - 100845503990,0,,
-31390869018*x**15 - 72519705364*x**14 + 94162779933*x**13 - 224214118282*x**12 + 1164409094567*x**11 - 549505830190*x**10 - 90126434056*x**9 + 234765893539*x**8 + 205643526589*x**7 - 587433553413*x**6 + 540720912499*x**5 - 17193374249*x**4 - 426276894570*x**3 + 30415507178*x**2 + 78591273553*x - 85622912052,0,,
5938703115*x**15 + 256956205777*x**14 - 73562552570*x**13 - 604999883084*x**12 - 620834665526*x**11 - 419933732627*x**10 + 835442949227*x**9 + 1289747272169*x**8 + 1992963269116*x**7 - 3487925856328*x**6 - 752536053167*x**5 - 75794638591*x**4 - 465750671266*x**3 + 219477765421*x**2 - 169379585544*x - 20651217835,0,,
8985895504*x**15 + 67206821212*x**14 + 674505815477*x**13 + 548570909045*x**12 + 1588985976824*x**11 - 412588008847*x**10 - 1035002309070*x**9 + 269878146239*x**8 - 158854079035*x**7 - 234159370333*x**6 + 583182015994*x**5 + 638305592218*x**4 + 695308998638*x**3 - 90979543753*x**2 + 218024776348*x - 28553777850,0,,
-20689260239*x**15 - 190076324717*x**14 - 475188300967*x**13 + 381665292442*x**12 + 843799930999*x**11 + 1139404701251*x**10 + 122910799025*x**9 - 189169687649*x**8 - 2038443714428*x**7 + 80650189756*x**6 + 274736282600*x**5 + 173169099364*x**4 - 488968263909*x**3 - 55889559247*x**2 - 14131481013*x - 93537981072,0,,
4157096043*x**15 + 173619566011*x**14 + 291975219689*x**13 + 466012460483*x**12 + 491956005718*x**11 - 660800649115*x**10 - 1242076097029*x**9 + 303930514223*x**8 + 1325946200952*x**7 + 597699002101*x**6 + 1787661833669*x**5 - 933305022594*x**4 - 937926438050*x**3 - 294215779440*x**2 + 180809660298*x + 56579016802,0,,
126800839284*x**15 - 48341793758*x**14 - 43873969443*x**13 - 227778093285*x**12 + 100689939913*x**11 + 1172095115844*x**10 + 234743981596*x**9 - 2181314726782*x**8 - 170445997012*x**7 + 1020177597173*x**6 - 249849871332*x**5 + 784520029665*x**4 + 439690749959*x**3 + 94565390205*x**2 + 50357179222*x + 32042813537,0,,
56578066266*x**15 + 39523441591*x**14 + 205766659104*x**13 + 160697203424*x**12 + 999134089112*x**11 - 1320284548854*x**10 + 1379069319163*x**9 + 2315491900041*x**8 - 1128603923362*x**7 - 490597567285*x**6 - 655388974262*x**5 + 746232550132*x**4 + 1101023408167*x**3 - 213486831068*x**2 - 322089254020*x - 957300245,0,,
46920243315*x**15 + 433143368451*x**14 - 569923691326*x**13 - 315457360175*x**12 - 442449019960*x**11 + 28434286716*x**10 - 1239554452689*x**9 + 176461290534*x**8 - 632467199685*x**7 - 374579275412*x**6 - 1311354772701*x**5 + 108893805106*x**4 + 1001892669148*x**3 - 171202091836*x**2 - 73421609785*x - 5573966074,0,,
16139995527*x**15 - 140279762274*x**14 - 570655549546*x**13 - 450190770268*x**12 + 1076899521759*x**11 + 1257553124579*x**10 + 889354060429*x**9 + 104770060173*x**8 - 426143637895*x**7 - 302917271923*x**6 - 113518193067*x**5 - 1297849795820*x**4 - 193345013483*x**3 - 357077472259*x**2 - 180373263720*x + 20685904022,0,,
-7581503795*x**15 - 44354583748*x**14 - 155367122204*x**13 + 622606399313*x**12 + 1352694742196*x**11 - 1238755266526*x**10 - 1244350814323*x**9 + 868590809828*x**8 - 896869282722*x**7 + 805030674109*x**6 + 535169561850*x**5 + 2149645309554*x**4 + 619094413326*x**3 - 56279581106*x**2 - 44184508276*x + 23288597518,0,,
-42961036716*x**15 + 234008160154*x**14 - 65031362804*x**13 + 113372040527*x**12 - 325959174453*x**11 + 113750984949*x**10 - 893038799185*x**9 - 493256289521*x**8 + 251443427094*x**7 - 870084898957*x**6 + 1552515695946*x**5 - 61446920525*x**4 - 1082438163716*x**3 + 340100085424*x**2 + 109336212363*x + 16809134290,0,,
-145304561674*x**15 - 395735263308*x**14 + 161148506745*x**13 - 806786889076*x**12 + 587420396049*x**11 + 704782132463*x**10 - 1881972698297*x**9 - 1559478630161*x**8 + 104028945575*x**7 + 130767870008*x**6 + 372845243935*x**5 + 1274386296828*x**4 + 872098800449*x**3 - 197896655515*x**2 - 387287766011*x + 58305330928,0,,
71964509970*x**15 + 116749801103*x**14 - 717181724382*x**13 + 163376037289*x**12 - 202737024742*x**11 - 855780271433*x**10 + 1569376635592*x**9 - 530008343105*x**8 + 2309535858364*x**7 + 466014401019*x**6 + 28462496106*x**5 - 13472672103*x**4 + 1054770919997*x**3 + 261380320769*x**2 + 318722796395*x + 16806551731,0,,
27022410765*x**15 + 199735561194*x**14 + 421473189228*x**13 - 1130414039817*x**12 + 1562377180313*x**11 - 483910695596*x**10 - 200600015008*x**9 - 737776984015*x**8 + 1707450750962*x**7 + 660095013643*x**6 + 106786444713*x**5 + 767444103419*x**4 - 745530715471*x**3 - 27901887390*x**2 + 185175716164*x + 102481205515,0,,
31413348479*x**15 - 136937089580*x**14 - 523109803274*x**13 + 927308909301*x**12 - 104989999278*x**11 - 1813639467546*x**10 + 561587293367*x**9 + 1392818911545*x**8 - 1820569666549*x**7 - 3163934756995*x**6 - 195382443022*x**5 - 193463280674*x**4 + 411847256096*x**3 - 475822213344*x**2 + 179806969179*x - 49352575017,0,,
-36450884104*x**15 - 66565423331*x**14 - 305169062267*x**13 + 810549153326*x**12 + 174791148757*x**11 - 1435880758297*x**10 + 2239102943972*x**9 + 1797792032346*x**8 + 1128882771481*x**7 - 1415204498003*x**6 + 531301763258*x**5 - 798940181899*x**4 + 992339508426*x**3 + 318314582516*x**2 - 125335945354*x + 28187844832,0,,
-76859201302*x**15 + 357927393219*x**14 - 307821550260*x**13 - 240112298999*x**12 - 1170426081583*x**11 + 75395640817*x**10 + 390267443286*x**9 + 2022578594553*x**8 - 1739625104791*x**7 + 13349328491*x**6 + 1421373352821*x**5 - 417227082616*x**4 - 400907262500*x**3 - 32792313388*x**2 + 178944153514*x - 12846098915,0,,
17280144936*x**15 + 165141089489*x**14 - 120338432303*x**13 - 38521262630*x**12 - 834057065712*x**11 + 542998165958*x**10 - 352801779275*x**9 + 1846719461267*x**8 - 1529112254928*x**7 - 820682654434*x**6 - 600061792293*x**5 + 793834623835*x**4 + 199308216299*x**3 + 64336511197*x**2 + 156589394026*x - 22298200161,0,,
-28072956182*x**15 + 241435738875*x**14 - 93573532086*x**13 - 804689551757*x**12 + 28559742491*x**11 - 944848323380*x**10 - 1225693284238*x**9 + 100084548110*x**8 - 934573575476*x**7 - 1736691667230*x**6 - 1860103530691*x**5 + 1986284860875*x**4 - 25800864133*x**3 - 527413929303*x**2 - 101932323260*x + 39361159241,0,,
-43506396869*x**15 + 47599019023*x**14 - 106675063129*x**13 + 508150330312*x**12 - 125932152035*x**11 - 614198532563*x**10 + 1949115819387*x**9 + 3318887214228*x**8 - 227704048737*x**7 + 1319577082563*x**6 - 1692431763556*x**5 + 856547170164*x**4 + 431615598059*x**3 + 360338626524*x**2 - 69457278324*x + 121790156231,0,,
-22216674937*x**15 + 454329680137*x**14 - 160117521579*x**13 - 834840833278*x**12 + 268661283776*x**11 - 370435579455*x**10 - 2614646210844*x**9 + 326648200669*x**8 - 1644586361272*x**7 - 659559882794*x**6 - 10085843723*x**5 + 229982456922*x**4 - 653384113909*x**3 - 598276891721*x**2 - 183206826307*x + 12756748577,0,,
15096430494*x**15 + 210619621391*x**14 + 417575962096*x**13 - 1074551902158*x**12 - 2027578088193*x**11 - 908067265003*x**10 - 2369960627968*x**9 - 1575219168535*x**8 + 39020582768*x**7 - 1499513736613*x**6 - 197754447212*x**5 + 903562128425*x**4 - 520420579283*x**3 - 305802833093*x**2 + 349275567082*x - 6039118350,0,,
-43769044390*x**15 - 76919976372*x**14 - 75346487586*x**13 - 206431797705*x**12 + 821784953742*x**11 + 747007411972*x**10 + 1143915297341*x**9 - 1151962188251*x**8 + 403568474589*x**7 + 2319733108677*x**6 + 432398288998*x**5 + 391465710675*x**4 - 278015477798*x**3 + 433444186919*x**2 + 153584359135*x + 36532200529,0,,
84115077310*x**15 - 79044896941*x**14 - 211471134295*x**13 + 323947889172*x**12 + 134412871862*x**11 + 176393622314*x**10 + 2025172911571*x**9 - 561714945996*x**8 + 1398545281*x**7 + 678078594282*x**6 - 254912441311*x**5 - 619719604875*x**4 + 24338994127*x**3 - 376599022738*x**2 - 112878930832*x - 50944816887,0,,
62047361653*x**15 - 253647666018*x**14 - 227145240239*x**13 + 302210492001*x**12 + 61009658677*x**11 + 335360705889*x**10 - 499622507230*x**9 - 3101646100397*x**8 + 1082728569044*x**7 - 322816231331*x**6 + 483854587246*x**5 + 57578356122*x**4 - 715526029806*x**3 + 735411648785*x**2 + 89296940967*x - 95930051394,0,,
-63921735529*x**15 + 84440769232*x**14 + 49909146455*x**13 + 256811377460*x**12 - 798247571826*x**11 + 592802066915*x**10 - 2134142041584*x**9 - 1559596204777*x**8 - 1371962425794*x**7 + 265363157727*x**6 - 1136384802096*x**5 + 1898568251396*x**4 + 291975992046*x**3 - 255103873131*x**2 + 381343285901*x + 18563235273,0,,
24547966102*x**15 - 226270089213*x**14 - 84348034954*x**13 - 415281926849*x**12 - 1201772096447*x**11 - 1593132769853*x**10 - 848432570370*x**9 + 420293231427*x**8 + 270395823388*x**7 - 1522560987757*x**6 + 2137206769156*x**5 + 148392260972*x**4 + 862052996084*x**3 - 258500917989*x**2 - 98509368917*x + 49587766371,0,,
12229453822*x**15 + 71184733139*x**14 - 913457087227*x**13 + 957662354174*x**12 - 942418074680*x**11 + 977928775924*x**10 + 888399741121*x**9 - 408431404141*x**8 - 1039900641491*x**7 - 1013778503511*x**6 - 119303634300*x**5 - 1619176168381*x**4 - 567788889379*x**3 - 621742783376*x**2 - 129845181223*x - 7487376092,0,,
82018152402*x**15 - 190488476527*x**14 - 247597281763*x**13 - 919537537997*x**12 + 2303002362*x**11 - 1425715707040*x**10 + 1441753919423*x**9 - 518793767917*x**8 - 766747559212*x**7 - 280209268180*x**6 + 971218833986*x**5 - 696714828358*x**4 - 177333625010*x**3 + 201568698743*x**2 - 2265270026*x + 9778806080,0,,
-19173690185*x**15 - 75443569976*x**14 + 213523586697*x**13 - 155816881937*x**12 + 72949311029*x**11 - 862534545578*x**10 + 2790513802180*x**9 + 5226257876365*x**8 - 2151274041326*x**7 - 255618904815*x**6 - 578209051156*x**5 + 17213454602*x**4 + 288658493108*x**3 + 332960413304*x**2 + 316057670674*x + 15709852411,0,,
106870529587*x**15 - 159317289689*x**14 - 59008547056*x**13 + 355600186942*x**12 + 824527434581*x**11 + 269703093691*x**10 - 863709085339*x**9 + 1457987211484*x**8 - 1132075369123*x**7 - 3177822608340*x**6 - 1032134989246*x**5 - 1382478994957*x**4 - 368082351543*x**3 + 375879155311*x**2 - 73552429788*x + 34240545095,0,,
-57794183925*x**15 - 434949743094*x**14 - 666890139097*x**13 - 49228803498*x**12 - 1172240847717*x**11 + 736135230930*x**10 - 2673869438078*x**9 + 1318344698988*x**8 + 805495614760*x**7 + 564540226784*x**6 - 2651094207594*x**5 + 325826703809*x**4 + 369164898345*x**3 + 732460073610*x**2 - 94055033358*x - 13414443982,0,,
-40291360187*x**15 + 30606185675*x**14 - 260634507544*x**13 + 495035256741*x**12 + 1050078562749*x**11 - 1341509531895*x**10 + 1164468146669*x**9 + 1081225380699*x**8 - 429589866713*x**7 - 1537642577377*x**6 + 2157560893547*x**5 - 69023613623*x**4 - 323406289321*x**3 + 7164303503*x**2 + 424277755923*x - 9816770345,0,,
-88652349899*x**15 + 17672130323*x**14 - 786927955754*x**13 - 622835184851*x**12 + 316537727492*x**11 - 172903302837*x**10 - 2624990217765*x**9 - 489817285672*x**8 + 608745219573*x**7 - 2173373849964*x**6 + 772177299514*x**5 + 958546390528*x**4 + 523468165507*x**3 + 3924271888*x**2 - 72128275129*x - 61097609469,0,,
8000970716*x**15 + 232010110212*x**14 - 33500756361*x**13 + 929580660904*x**12 - 959780130585*x**11 + 186737597609*x**10 + 1388220079409*x**9 - 83021673616*x**8 + 181822815704*x**7 + 653312122445*x**6 - 1988346592779*x**5 - 1004759362559*x**4 + 710681717310*x**3 - 214753587638*x**2 + 109084307112*x - 45711418157,0,,
1144838695*x**15 + 265171127691*x**14 + 283532723181*x**13 - 769410745270*x**12 + 1623979488926*x**11 - 856196085444*x**10 - 558411992204*x**9 + 2665208716350*x**8 - 454012176376*x**7 - 244384739546*x**6 + 1396165229342*x**5 + 864629532383*x**4 - 661748281144*x**3 - 224837342807*x**2 - 71597378660*x - 34200679456,0,,
42534205822*x**15 + 81970641375*x**14 - 8655068469*x**13 - 806835628155*x**12 - 164645927978*x**11 + 530072115290*x**10 - 889457333672*x**9 - 355730102748*x**8 + 2042662533716*x**7 + 781270901879*x**6 - 1359928896942*x**5 + 704719531350*x**4 + 1177665567022*x**3 - 36769302740*x**2 - 93217966056*x + 13305611843,0,,
-30790228171*x**15 - 255646431879*x**14 + 341121060680*x**13 - 512881732875*x**12 - 292764073816*x**11 - 558615296147*x**10 + 1345312239060*x**9 - 229666899601*x**8 + 3069261830264*x**7 - 376045993586*x**6 + 827238505697*x**5 + 356801055834*x**4 + 393513165643*x**3 + 75853880673*x**2 + 135718958328*x + 93878705724,0,,
-131069830496*x**15 - 21667043378*x**14 + 21727072354*x**13 + 836236914596*x**12 + 631233373301*x**11 - 1417292093056*x**10 + 1637275046637*x**9 + 577147228195*x**8 - 713181810911*x**7 + 218859462649*x**6 - 1346094428723*x**5 + 289864540883*x**4 - 313127875863*x**3 + 393861435208*x**2 + 132359833695*x + 111026954163,0,,
-45781012487*x**15 + 188868725645*x**14 + 15192399463*x**13 - 1721795534300*x**12 + 1036717246719*x**11 + 90994642817*x**10 + 915109903496*x**9 + 2112448658601*x**8 + 3769542502487*x**7 - 121525284683*x**6 - 747339620178*x**5 + 722458729101*x**4 + 793963348034*x**3 - 171499748023*x**2 - 119421325077*x - 66444945789,0,,
-4048290901*x**15 - 273775477159*x**14 - 12808497228*x**13 + 242532560803*x**12 - 981346180677*x**11 - 995195131539*x**10 - 847130745003*x**9 - 985754936758*x**8 + 124310533020*x**7 + 21017033545*x**6 - 1824935843461*x**5 - 562900010679*x**4 - 607608771299*x**3 + 48281234833*x**2 + 164983261372*x + 43555721792,0,,
15751674110*x**15 - 337772970706*x**14 - 123350959666*x**13 + 1330457721079*x**12 - 73641010071*x**11 - 713999312044*x**10 - 2360892431133*x**9 - 250857765043*x**8 - 1756785090786*x**7 + 723690922677*x**6 + 541077548527*x**5 - 89943910728*x**4 - 943124931884*x**3 - 348945118184*x**2 + 224323392069*x + 33480822855,0,,
-86735168788*x**15 + 103449640724*x**14 - 118235596449*x**13 - 31860114099*x**12 - 708684398329*x**11 - 659265015834*x**10 - 2832202586805*x**9 + 654294141520*x**8 + 1147479584957*x**7 + 271728925950*x**6 - 1617344312262*x**5 + 145472995255*x**4 - 106407302363*x**3 + 120914350348*x**2 + 13363362707*x - 51932519001,0,,
-28788479520*x**15 - 160714401884*x**14 - 176915069397*x**13 + 577710080006*x**12 + 1161133311780*x**11 + 1855095676338*x**10 - 2968107855904*x**9 + 480208174530*x**8 - 1887659661575*x**7 + 2080968543992*x**6 - 340769727509*x**5 + 500652725622*x**4 + 623034570237*x**3 - 225002805704*x**2 + 195061231006*x - 13276216281,0,,
-32843172770*x**15 + 254575164078*x**14 - 186763716429*x**13 - 745225050908*x**12 + 460240796930*x**11 - 1043795161547*x**10 + 859835737099*x**9 - 1382567400920*x**8 + 121004598541*x**7 + 739065350934*x**6 + 1153303458681*x**5 - 849016759664*x**4 + 62308023228*x**3 - 95933250072*x**2 + 173340607245*x + 41249474322,0,,
44026407065*x**15 + 242458781847*x**14 - 438974667547*x**13 + 812340743630*x**12 + 575161699900*x**11 - 928684915278*x**10 + 214705064383*x**9 + 2389492045820*x**8 + 1908163944262*x**7 - 1109578084278*x**6 + 1209645092004*x**5 + 778598026116*x**4 + 677839681324*x**3 - 29509765901*x**2 + 108614469128*x + 12376596137,0,,
36677701307*x**15 + 250638889018*x**14 - 673056747200*x**13 + 1194127965261*x**12 + 620224875828*x**11 - 1613107497993*x**10 - 505725895988*x**9 + 804977627400*x**8 - 538450571915*x**7 - 389805865275*x**6 - 109957386841*x**5 + 1031739336332*x**4 - 1205881714677*x**3 - 504083181280*x**2 - 35619953215*x - 5152174382,0,,
-105153466573*x**15 - 268681718680*x**14 + 8671103932*x**13 + 553240231230*x**12 + 530603947074*x**11 + 728994954200*x**10 + 70367095518*x**9 - 288175475161*x**8 - 391286322223*x**7 + 24607105074*x**6 - 1184069189572*x**5 + 837174138262*x**4 - 1111517310899*x**3 - 216314785602*x**2 + 51125481871*x - 25798377021,0,,
16080538705*x**15 + 137386203519*x**14 + 195169068810*x**13 - 880940313551*x**12 + 780231956832*x**11 + 1442828713972*x**10 - 396367449343*x**9 - 1305929300392*x**8 + 677124395713*x**7 + 1331219174829*x**6 - 1195587294313*x**5 - 37287905061*x**4 + 513944540912*x**3 - 697014593004*x**2 + 45849106740*x - 71687558536,0,,
22640404788*x**15 - 102753854698*x**14 + 67510473067*x**13 - 478072103175*x**12 + 747292858517*x**11 + 191621281386*x**10 - 104644605419*x**9 - 2107501030319*x**8 + 1437426302147*x**7 + 759406219342*x**6 - 2131238315095*x**5 + 69490667706*x**4 + 143429116589*x**3 + 180250380971*x**2 - 9429651060*x + 4854852306,0,,
-17659776738*x**15 - 222072964963*x**14 - 27020029442*x**13 + 819804446760*x**12 - 1234769795422*x**11 - 688846919850*x**10 - 247712589250*x**9 - 160857833422*x**8 - 1881201042243*x**7 + 2822228317865*x**6 + 1188713389723*x**5 - 230884484297*x**4 - 587854935318*x**3 + 117525323477*x**2 - 255949454199*x - 26026280268,0,,
-17670587161*x**15 - 237638722566*x**14 + 168441545771*x**13 + 136844192982*x**12 - 2897546283213*x**11 - 517958858846*x**10 - 193471290970*x**9 - 1459912492510*x**8 + 695512544586*x**7 - 1841819519925*x**6 + 888535600695*x**5 + 860001254568*x**4 + 269581595951*x**3 + 63350787884*x**2 + 153859692947*x + 25625690252,0,,
108536382459*x**15 - 73684980277*x**14 - 129780666386*x**13 - 591548833000*x**12 + 266836026593*x**11 - 549302354934*x**10 + 172737476573*x**9 - 583764904918*x**8 - 262394211541*x**7 - 527761938898*x**6 - 728089702741*x**5 - 331640476270*x**4 + 512586712263*x**3 - 162533509724*x**2 + 137149989032*x + 45623953224,0,,
35647989710*x**15 + 111567196735*x**14 - 687122124215*x**13 - 131312602006*x**12 + 370162520444*x**11 - 2767079305090*x**10 - 1645736977601*x**9 - 2346764967329*x**8 - 1237801705828*x**7 - 1376761237889*x**6 + 1808817340182*x**5 + 53320645292*x**4 + 298432275985*x**3 - 235323221077*x**2 - 153897392536*x + 105457563127,0,,
19166929882*x**15 + 110486690505*x**14 - 18904765206*x**13 - 628875346495*x**12 - 599491084736*x**11 - 381025560916*x**10 + 981885128536*x**9 - 1035135851128*x**8 - 336576335822*x**7 + 1216049308349*x**6 - 2253823948012*x**5 - 768751799523*x**4 - 258594232549*x**3 - 355847800003*x**2 + 48115285757*x - 54219736661,0,,
6056311294*x**15 + 500793482021*x**14 - 508380017695*x**13 - 387525164146*x**12 - 1034396119309*x**11 + 959333379442*x**10 - 1315482529535*x**9 - 60499343775*x**8 - 2196452524353*x**7 - 1356239059995*x**6 - 212415739169*x**5 - 1363499487863*x**4 - 692549277827*x**3 - 553798100100*x**2 + 63450575050*x - 30034008663,0,,
-36510618497*x**15 + 38395981983*x**14 - 211441838904*x**13 + 24241355949*x**12 - 310624033489*x**11 - 1585678608925*x**10 + 976887567439*x**9 + 1782141771804*x**8 + 508157918246*x**7 - 1453008358023*x**6 + 283602539522*x**5 - 745740583312*x**4 + 206493523363*x**3 + 287494158349*x**2 + 250505727534*x - 15587456199,0,,
20688172515*x**15 - 104318540054*x**14 - 15895073269*x**13 - 32988413841*x**12 + 910073978138*x**11 - 3140124062274*x**10 - 1304501462077*x**9 + 2988334797636*x**8 - 577498356901*x**7 + 2214547075018*x**6 + 920996342398*x**5 - 726622445879*x**4 + 63320608605*x**3 + 537081019027*x**2 - 439921608618*x + 33738463714,0,,
-33617532043*x**15 + 349085969448*x**14 - 370377811658*x**13 + 388762106095*x**12 + 161629624932*x**11 + 720185568258*x**10 + 1865323193900*x**9 + 774922684894*x**8 + 1740984875419*x**7 + 88176089377*x**6 - 454008787751*x**5 + 619415206370*x**4 - 1303975376772*x**3 - 92547455179*x**2 - 304960463331*x - 96595038559,0,,
30276218896*x**15 + 351484904997*x**14 - 125215029059*x**13 - 1176195261781*x**12 + 418757545199*x**11 + 182045530109*x**10 - 1049983029814*x**9 - 771221019847*x**8 - 1236102634031*x**7 - 1668821578624*x**6 - 609751411494*x**5 - 305441359852*x**4 + 140747708025*x**3 + 396192871989*x**2 - 147388162310*x + 19621699633,0,,
-28682646207*x**15 + 239590858030*x**14 - 204537778287*x**13 - 197494130973*x**12 - 808244890270*x**11 - 338143997876*x**10 + 140601900591*x**9 + 539620156186*x**8 + 2197937178033*x**7 - 341780352598*x**6 - 2228195436772*x**5 - 517314702353*x**4 + 535433737552*x**3 - 521506240641*x**2 - 94651361106*x + 6285795931,0,,
57938462740*x**15 - 78750503977*x**14 + 295390255910*x**13 - 109790579995*x**12 - 1232769500746*x**11 - 464219843233*x**10 - 720912188221*x**9 + 140625408709*x**8 + 1662800878466*x**7 - 276697427795*x**6 - 585110484951*x**5 - 283665431997*x**4 + 742781627742*x**3 + 48825548923*x**2 + 303952671432*x - 28629358871,0,,
68048677533*x**15 - 95382447693*x**14 + 67288666971*x**13 - 768131417*x**12 - 1307006188305*x**11 - 126685124878*x**10 - 2032292464492*x**9 - 158136600019*x**8 - 208580652207*x**7 + 674911496583*x**6 - 652295921529*x**5 - 126857177079*x**4 + 1007573665748*x**3 + 365263008248*x**2 + 275861776523*x - 62640698036,0,,
3758754756*x**15 - 99110069734*x**14 + 344384809201*x**13 + 177702177650*x**12 - 136161968982*x**11 - 1060274353460*x**10 + 1301039664914*x**9 - 1760394536840*x**8 - 122681789851*x**7 - 812052391035*x**6 + 435388875435*x**5 + 1038156651204*x**4 + 676090619289*x**3 - 564307316856*x**2 - 19988071424*x + 68006964562,0,,
120054605847*x**15 - 85805831665*x**14 - 451342218689*x**13 - 105830593414*x**12 + 115165890584*x**11 - 1309976677894*x**10 - 425001908624*x**9 - 1468825100963*x**8 - 12318919735*x**7 + 860738993350*x**6 - 1537403721243*x**5 - 881795093018*x**4 - 427635917770*x**3 - 95246195899*x**2 - 140965297275*x + 37006123830,0,,
34594663186*x**15 + 30233659683*x**14 - 626211537943*x**13 - 202214012507*x**12 + 90442925591*x**11 - 205947056784*x**10 + 2317929264045*x**9 - 1383483631660*x**8 - 1862757719653*x**7 + 611258679082*x**6 + 1417282202820*x**5 + 657394050707*x**4 - 88039406761*x**3 + 5439286516*x**2 + 315949962091*x - 15575796149,0,,
84709072345*x**15 - 122673344399*x**14 + 324440669377*x**13 - 891152642536*x**12 - 54231367153*x**11 - 1374464268562*x**10 + 872027841583*x**9 + 991852857719*x**8 + 802345460417*x**7 + 943261795274*x**6 - 954317059291*x**5 - 10608885794*x**4 + 723640997926*x**3 - 538608281301*x**2 + 147615924346*x - 47918897115,0,,
29405690799*x**15 - 79229328078*x**14 - 274456026700*x**13 - 352863729307*x**12 + 292426498007*x**11 + 507187423692*x**10 - 2590149339270*x**9 - 4341146901692*x**8 + 472841185129*x**7 - 1359039346282*x**6 + 545337325609*x**5 - 932137019079*x**4 - 531445219296*x**3 + 454249484016*x**2 + 300717039081*x - 8477021879,0,,
53863973858*x**15 + 31045484137*x**14 + 230935913499*x**13 - 1395883207218*x**12 + 1569096153718*x**11 - 225888997751*x**10 + 1277757461163*x**9 + 2414201289105*x**8 + 381911971658*x**7 - 321222572519*x**6 - 803080609170*x**5 - 909728099903*x**4 - 38477043526*x**3 + 270590648265*x**2 - 137999773402*x + 33274439906,0,,
-81493419600*x**15 + 264574524994*x**14 - 334695886055*x**13 - 219412745098*x**12 + 72863788202*x**11 + 152342844516*x**10 + 419903398395*x**9 + 155190466827*x**8 - 2417321820980*x**7 - 21202040291*x**6 - 450718464808*x**5 + 565893010419*x**4 - 133890721251*x**3 + 481197491920*x**2 + 144588514226*x - 72537909867,0,,
-35569978139*x**15 - 97467886158*x**14 + 633933161747*x**13 - 585558046218*x**12 + 213661620117*x**11 - 1175922523300*x**10 - 1167432923484*x**9 - 1707531365833*x**8 + 1345799602587*x**7 - 1962347740292*x**6 - 79170833572*x**5 - 1194312065441*x**4 + 754090439617*x**3 + 5783570459*x**2 + 158597628643*x - 630794971,0,,
